Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
07/27/2023,05:36:00 -0300,0,,,175,1,,,,,,,,19.29,,,,,
07/27/2023,05:38:00 -0300,0,,,173,1,,,,,,,,19.27,,,,,
07/27/2023,05:39:00 -0300,,,,,,4.242,,,,,,,,,,,,
07/27/2023,05:40:00 -0300,0,,,175,1,,,,,,,,19.22,,,,,
07/27/2023,05:42:00 -0300,0,,,181,2,,,,,,,,19.32,,,,,
07/27/2023,05:44:00 -0300,0,,,183,1,4.245,,,,,,,19.37,,,,,
07/27/2023,05:46:00 -0300,0,,,192,2,,,,,,,,19.39,,,,,
07/27/2023,05:48:00 -0300,0,,,180,2,,,,,,,,19.44,,,,,
07/27/2023,05:49:00 -0300,,,,,,4.241,,,,,,,,,,,,
07/27/2023,05:50:00 -0300,0,,,180,2,,,,,,,,19.41,,,,,
07/27/2023,05:52:00 -0300,0,,,180,3,,,,,,,,19.39,,,,,
07/27/2023,05:54:00 -0300,0,,,180,6,4.245,,,,,,,19.39,,,,,
07/27/2023,05:56:00 -0300,0,,,177,6,,,,,,,,19.39,,,,,
07/27/2023,05:58:00 -0300,0,,,178,7,,,,,,,,19.41,,,,,
07/27/2023,05:59:00 -0300,,,,,,4.253,,,,,,,,,,,,
07/27/2023,06:00:00 -0300,0,,,175,8,,,,,,,,19.46,,,,,
07/27/2023,06:02:00 -0300,0,,,178,9,,,,,,,,19.46,,,,,
07/27/2023,06:04:00 -0300,0,,,185,12,4.253,,,,,,,19.48,,,,,
07/27/2023,06:06:00 -0300,0,,,180,13,,,,,,,,19.41,,,,,
07/27/2023,06:08:00 -0300,0,,,181,17,,,,,,,,19.46,,,,,
07/27/2023,06:09:00 -0300,,,,,,4.26,,,,,,,,,,,,
07/27/2023,06:10:00 -0300,0,,,178,22,,,,,,,,19.48,,,,,
07/27/2023,06:12:00 -0300,0,,,181,27,,,,,,,,19.53,,,,,
07/27/2023,06:14:00 -0300,0,,,174,31,4.284,,,,,,,19.53,,,,,
07/27/2023,06:16:00 -0300,0,,,183,34,,,,,,,,19.58,,,,,
07/27/2023,06:18:00 -0300,0,,,177,39,,,,,,,,19.53,,,,,
07/27/2023,06:19:00 -0300,,,,,,4.284,,,,,,,,,,,,
07/27/2023,06:20:00 -0300,0,,,178,44,,,,,,,,19.58,,,,,
07/27/2023,06:22:00 -0300,0,,,181,49,,,,,,,,19.65,,,,,
07/27/2023,06:24:00 -0300,0,,,180,54,4.305,,,,,,,19.67,,,,,
07/27/2023,06:26:00 -0300,0,,,183,59,,,,,,,,19.7,,,,,
07/27/2023,06:28:00 -0300,0,,,184,61,,,,,,,,19.77,,,,,
07/27/2023,06:29:00 -0300,,,,,,4.311,,,,,,,,,,,,
07/27/2023,06:30:00 -0300,0,,,184,56,,,,,,,,19.79,,,,,
07/27/2023,06:32:00 -0300,0,,,174,49,,,,,,,,19.79,,,,,
07/27/2023,06:34:00 -0300,0,,,181,46,4.296,,,,,,,19.77,,,,,
07/27/2023,06:36:00 -0300,0,,,178,42,,,,,,,,19.79,,,,,
07/27/2023,06:38:00 -0300,0,,,181,42,,,,,,,,19.75,,,,,
07/27/2023,06:39:00 -0300,,,,,,4.307,,,,,,,,,,,,
07/27/2023,06:40:00 -0300,0,,,184,43,,,,,,,,19.75,,,,,
07/27/2023,06:42:00 -0300,0,,,180,42,,,,,,,,19.82,,,,,
07/27/2023,06:44:00 -0300,0,,,184,43,4.298,,,,,,,19.89,,,,,
07/27/2023,06:46:00 -0300,0,,,183,46,,,,,,,,19.91,,,,,
07/27/2023,06:48:00 -0300,0,,,181,47,,,,,,,,19.86,,,,,
07/27/2023,06:49:00 -0300,,,,,,4.287,,,,,,,,,,,,
07/27/2023,06:50:00 -0300,0,,,177,49,,,,,,,,19.84,,,,,
07/27/2023,06:52:00 -0300,0,,,178,51,,,,,,,,19.79,,,,,
07/27/2023,06:54:00 -0300,0,,,180,51,4.302,,,,,,,19.82,,,,,
07/27/2023,06:56:00 -0300,0,,,178,51,,,,,,,,19.82,,,,,
07/27/2023,06:58:00 -0300,0,,,183,49,,,,,,,,19.84,,,,,
07/27/2023,06:59:00 -0300,,,,,,4.307,,,,,,,,,,,,
07/27/2023,07:00:00 -0300,0,,,180,49,,,,,,,,19.86,,,,,
07/27/2023,07:02:00 -0300,0,,,184,51,,,,,,,,19.94,,,,,
07/27/2023,07:04:00 -0300,0,,,185,53,4.292,,,,,,,19.94,,,,,
07/27/2023,07:06:00 -0300,0,,,184,57,,,,,,,,19.98,,,,,
07/27/2023,07:08:00 -0300,0,,,184,62,,,,,,,,20.01,,,,,
07/27/2023,07:09:00 -0300,,,,,,4.301,,,,,,,,,,,,
07/27/2023,07:10:00 -0300,0,,,184,68,,,,,,,,20.06,,,,,
07/27/2023,07:12:00 -0300,0,,,184,74,,,,,,,,20.1,,,,,
07/27/2023,07:14:00 -0300,0,,,183,79,4.301,,,,,,,20.08,,,,,
07/27/2023,07:16:00 -0300,0,,,184,81,,,,,,,,20.15,,,,,
07/27/2023,07:18:00 -0300,0,,,181,81,,,,,,,,20.15,,,,,
07/27/2023,07:19:00 -0300,,,,,,4.292,,,,,,,,,,,,
07/27/2023,07:20:00 -0300,0,,,177,81,,,,,,,,20.1,,,,,
07/27/2023,07:22:00 -0300,0,,,170,81,,,,,,,,20.06,,,,,
07/27/2023,07:24:00 -0300,0,,,178,83,4.307,,,,,,,20.13,,,,,
07/27/2023,07:26:00 -0300,0,,,178,88,,,,,,,,20.13,,,,,
07/27/2023,07:28:00 -0300,0,,,173,94,,,,,,,,20.13,,,,,
07/27/2023,07:29:00 -0300,,,,,,4.32,,,,,,,,,,,,
07/27/2023,07:30:00 -0300,0,,,181,102,,,,,,,,20.17,,,,,
07/27/2023,07:32:00 -0300,0,,,171,109,,,,,,,,20.17,,,,,
07/27/2023,07:34:00 -0300,0,,,173,116,4.308,,,,,,,20.2,,,,,
07/27/2023,07:36:00 -0300,0,,,173,124,,,,,,,,20.25,,,,,
07/27/2023,07:38:00 -0300,0,,,170,131,,,,,,,,20.27,,,,,
07/27/2023,07:39:00 -0300,,,,,,4.322,,,,,,,,,,,,
07/27/2023,07:40:00 -0300,0,,,174,133,,,,,,,,20.32,,,,,
07/27/2023,07:42:00 -0300,0,,,178,149,,,,,,,,20.46,,,,,
07/27/2023,07:44:00 -0300,0,,,180,154,4.328,,,,,,,20.48,,,,,
07/27/2023,07:46:00 -0300,0,,,177,169,,,,,,,,20.58,,,,,
07/27/2023,07:48:00 -0300,0,,,173,179,,,,,,,,20.72,,,,,
07/27/2023,07:49:00 -0300,,,,,,4.307,,,,,,,,,,,,
07/27/2023,07:50:00 -0300,0,,,177,144,,,,,,,,20.67,,,,,
07/27/2023,07:52:00 -0300,0,,,173,153,,,,,,,,20.7,,,,,
07/27/2023,07:54:00 -0300,0,,,175,129,4.301,,,,,,,20.72,,,,,
07/27/2023,07:56:00 -0300,0,,,166,116,,,,,,,,20.63,,,,,
07/27/2023,07:58:00 -0300,0,,,173,127,,,,,,,,20.63,,,,,
07/27/2023,07:59:00 -0300,,,,,,4.31,,,,,,,,,,,,
07/27/2023,08:00:00 -0300,0,,,173,153,,,,,,,,20.7,,,,,
07/27/2023,08:02:00 -0300,0,,,177,152,,,,,,,,20.79,,,,,
07/27/2023,08:04:00 -0300,0,,,175,181,4.307,,,,,,,20.86,,,,,
07/27/2023,08:06:00 -0300,0,,,177,184,,,,,,,,20.96,,,,,
07/27/2023,08:08:00 -0300,0,,,174,184,,,,,,,,21.08,,,,,
07/27/2023,08:09:00 -0300,,,,,,4.305,,,,,,,,,,,,
07/27/2023,08:10:00 -0300,0,,,173,184,,,,,,,,21.17,,,,,
07/27/2023,08:12:00 -0300,0,,,174,171,,,,,,,,21.22,,,,,
07/27/2023,08:14:00 -0300,0,,,177,166,4.326,,,,,,,21.13,,,,,
07/27/2023,08:16:00 -0300,0,,,174,184,,,,,,,,21.13,,,,,
07/27/2023,08:18:00 -0300,0,,,180,236,,,,,,,,21.27,,,,,
07/27/2023,08:19:00 -0300,,,,,,4.313,,,,,,,,,,,,
07/27/2023,08:20:00 -0300,0,,,175,239,,,,,,,,21.44,,,,,
07/27/2023,08:22:00 -0300,0,,,177,207,,,,,,,,21.46,,,,,
07/27/2023,08:24:00 -0300,0,,,183,243,4.31,,,,,,,21.58,,,,,
07/27/2023,08:26:00 -0300,0,,,181,254,,,,,,,,21.58,,,,,
07/27/2023,08:28:00 -0300,0,,,174,186,,,,,,,,21.49,,,,,
07/27/2023,08:29:00 -0300,,,,,,4.335,,,,,,,,,,,,
07/27/2023,08:30:00 -0300,0,,,175,202,,,,,,,,21.46,,,,,
07/27/2023,08:32:00 -0300,0,,,175,138,,,,,,,,21.49,,,,,
07/27/2023,08:34:00 -0300,0,,,173,123,4.298,,,,,,,21.46,,,,,
07/27/2023,08:36:00 -0300,0,,,177,134,,,,,,,,21.37,,,,,
07/27/2023,08:38:00 -0300,0,,,173,151,,,,,,,,21.39,,,,,
07/27/2023,08:39:00 -0300,,,,,,4.313,,,,,,,,,,,,
07/27/2023,08:40:00 -0300,0,,,175,159,,,,,,,,21.34,,,,,
07/27/2023,08:42:00 -0300,0,,,177,169,,,,,,,,21.39,,,,,
07/27/2023,08:44:00 -0300,0,,,174,169,4.317,,,,,,,21.41,,,,,
07/27/2023,08:46:00 -0300,0,,,185,169,,,,,,,,21.44,,,,,
07/27/2023,08:48:00 -0300,0,,,181,174,,,,,,,,21.44,,,,,
07/27/2023,08:49:00 -0300,,,,,,4.311,,,,,,,,,,,,
07/27/2023,08:50:00 -0300,0,,,188,151,,,,,,,,21.51,,,,,
07/27/2023,08:52:00 -0300,0,,,181,158,,,,,,,,21.53,,,,,
07/27/2023,08:54:00 -0300,0,,,190,181,4.323,,,,,,,21.56,,,,,
07/27/2023,08:56:00 -0300,0,,,190,212,,,,,,,,21.68,,,,,
07/27/2023,08:58:00 -0300,0,,,197,226,,,,,,,,21.75,,,,,
07/27/2023,08:59:00 -0300,,,,,,4.304,,,,,,,,,,,,
07/27/2023,09:00:00 -0300,0,,,194,202,,,,,,,,21.82,,,,,
07/27/2023,09:02:00 -0300,0,,,195,181,,,,,,,,21.84,,,,,
07/27/2023,09:04:00 -0300,0,,,201,139,4.314,,,,,,,21.8,,,,,
07/27/2023,09:06:00 -0300,0,,,192,149,,,,,,,,21.82,,,,,
07/27/2023,09:08:00 -0300,0,,,190,174,,,,,,,,21.89,,,,,
07/27/2023,09:09:00 -0300,,,,,,4.332,,,,,,,,,,,,
07/27/2023,09:10:00 -0300,0,,,192,209,,,,,,,,21.89,,,,,
07/27/2023,09:12:00 -0300,0,,,185,276,,,,,,,,22.03,,,,,
07/27/2023,09:14:00 -0300,0,,,187,278,4.305,,,,,,,22.18,,,,,
07/27/2023,09:16:00 -0300,0,,,191,238,,,,,,,,22.13,,,,,
07/27/2023,09:18:00 -0300,0,,,190,221,,,,,,,,22.11,,,,,
07/27/2023,09:19:00 -0300,,,,,,4.308,,,,,,,,,,,,
07/27/2023,09:20:00 -0300,0,,,191,193,,,,,,,,22.01,,,,,
07/27/2023,09:22:00 -0300,0,,,191,181,,,,,,,,21.96,,,,,
07/27/2023,09:24:00 -0300,0,,,184,174,4.311,,,,,,,22.03,,,,,
07/27/2023,09:26:00 -0300,0,,,183,179,,,,,,,,21.99,,,,,
07/27/2023,09:28:00 -0300,0,,,183,192,,,,,,,,22.03,,,,,
07/27/2023,09:29:00 -0300,,,,,,4.317,,,,,,,,,,,,
07/27/2023,09:30:00 -0300,0,,,190,228,,,,,,,,22.06,,,,,
07/27/2023,09:32:00 -0300,0,,,187,286,,,,,,,,22.18,,,,,
07/27/2023,09:34:00 -0300,0,,,184,389,4.308,,,,,,,22.44,,,,,
07/27/2023,09:36:00 -0300,0,,,192,363,,,,,,,,22.61,,,,,
07/27/2023,09:38:00 -0300,0,,,187,378,,,,,,,,22.66,,,,,
07/27/2023,09:39:00 -0300,,,,,,4.328,,,,,,,,,,,,
07/27/2023,09:40:00 -0300,0,,,183,253,,,,,,,,22.78,,,,,
07/27/2023,09:42:00 -0300,0,,,191,214,,,,,,,,22.66,,,,,
07/27/2023,09:44:00 -0300,0,,,185,177,4.304,,,,,,,22.47,,,,,
07/27/2023,09:46:00 -0300,0,,,188,228,,,,,,,,22.37,,,,,
07/27/2023,09:48:00 -0300,0,,,184,271,,,,,,,,22.66,,,,,
07/27/2023,09:49:00 -0300,,,,,,4.313,,,,,,,,,,,,
07/27/2023,09:50:00 -0300,0,,,180,396,,,,,,,,22.85,,,,,
07/27/2023,09:52:00 -0300,0,,,180,406,,,,,,,,23.02,,,,,
07/27/2023,09:54:00 -0300,0,,,184,498,4.314,,,,,,,23.18,,,,,
07/27/2023,09:56:00 -0300,0,,,194,307,,,,,,,,23.3,,,,,
07/27/2023,09:58:00 -0300,0,,,188,294,,,,,,,,23.18,,,,,
07/27/2023,09:59:00 -0300,,,,,,4.301,,,,,,,,,,,,
07/27/2023,10:00:00 -0300,0,,,195,377,,,,,,,,23.16,,,,,
07/27/2023,10:02:00 -0300,0,,,187,354,,,,,,,,23.18,,,,,
07/27/2023,10:04:00 -0300,0,,,194,302,4.32,,,,,,,23.14,,,,,
07/27/2023,10:06:00 -0300,0,,,185,309,,,,,,,,23.14,,,,,
07/27/2023,10:08:00 -0300,0,,,180,277,,,,,,,,23.11,,,,,
07/27/2023,10:09:00 -0300,,,,,,4.337,,,,,,,,,,,,
07/27/2023,10:10:00 -0300,0,,,191,359,,,,,,,,23.21,,,,,
07/27/2023,10:12:00 -0300,0,,,188,388,,,,,,,,23.33,,,,,
07/27/2023,10:14:00 -0300,0,,,190,481,4.31,,,,,,,23.52,,,,,
07/27/2023,10:16:00 -0300,0,,,191,534,,,,,,,,23.59,,,,,
07/27/2023,10:18:00 -0300,0,,,194,583,,,,,,,,23.71,,,,,
07/27/2023,10:19:00 -0300,,,,,,4.296,,,,,,,,,,,,
07/27/2023,10:20:00 -0300,0,,,194,356,,,,,,,,23.74,,,,,
07/27/2023,10:22:00 -0300,0,,,190,296,,,,,,,,23.57,,,,,
07/27/2023,10:24:00 -0300,0,,,191,301,4.316,,,,,,,23.42,,,,,
07/27/2023,10:26:00 -0300,0,,,194,302,,,,,,,,23.35,,,,,
07/27/2023,10:28:00 -0300,0,,,202,289,,,,,,,,23.28,,,,,
07/27/2023,10:29:00 -0300,,,,,,4.302,,,,,,,,,,,,
07/27/2023,10:30:00 -0300,0,,,202,298,,,,,,,,23.18,,,,,
07/27/2023,10:32:00 -0300,0,,,206,314,,,,,,,,23.21,,,,,
07/27/2023,10:34:00 -0300,0,,,199,317,4.326,,,,,,,23.26,,,,,
07/27/2023,10:36:00 -0300,0,,,205,303,,,,,,,,23.23,,,,,
07/27/2023,10:38:00 -0300,0,,,199,286,,,,,,,,23.3,,,,,
07/27/2023,10:39:00 -0300,,,,,,4.337,,,,,,,,,,,,
07/27/2023,10:40:00 -0300,0,,,202,276,,,,,,,,23.21,,,,,
07/27/2023,10:42:00 -0300,0,,,205,303,,,,,,,,23.23,,,,,
07/27/2023,10:44:00 -0300,0,,,201,457,4.308,,,,,,,23.33,,,,,
07/27/2023,10:46:00 -0300,0,,,198,567,,,,,,,,23.59,,,,,
07/27/2023,10:48:00 -0300,0,,,204,349,,,,,,,,23.59,,,,,
07/27/2023,10:49:00 -0300,,,,,,4.314,,,,,,,,,,,,
07/27/2023,10:50:00 -0300,0,,,202,477,,,,,,,,23.62,,,,,
07/27/2023,10:52:00 -0300,0,,,197,459,,,,,,,,23.83,,,,,
07/27/2023,10:54:00 -0300,0,,,190,437,4.316,,,,,,,24.05,,,,,
07/27/2023,10:56:00 -0300,0,,,195,401,,,,,,,,24.15,,,,,
07/27/2023,10:58:00 -0300,0,,,197,401,,,,,,,,24,,,,,
07/27/2023,10:59:00 -0300,,,,,,4.301,,,,,,,,,,,,
07/27/2023,11:00:00 -0300,0,,,198,371,,,,,,,,24.1,,,,,
07/27/2023,11:02:00 -0300,0,,,195,389,,,,,,,,24.15,,,,,
07/27/2023,11:04:00 -0300,0,,,195,451,4.316,,,,,,,24.22,,,,,
07/27/2023,11:06:00 -0300,0,,,188,572,,,,,,,,24.29,,,,,
07/27/2023,11:08:00 -0300,0,,,188,633,,,,,,,,24.63,,,,,
07/27/2023,11:09:00 -0300,,,,,,4.319,,,,,,,,,,,,
07/27/2023,11:10:00 -0300,0,,,198,532,,,,,,,,24.36,,,,,
07/27/2023,11:12:00 -0300,0,,,205,406,,,,,,,,24.05,,,,,
07/27/2023,11:14:00 -0300,0,,,194,373,4.304,,,,,,,24,,,,,
07/27/2023,11:16:00 -0300,0,,,205,359,,,,,,,,23.98,,,,,
07/27/2023,11:18:00 -0300,0,,,201,357,,,,,,,,23.95,,,,,
07/27/2023,11:19:00 -0300,,,,,,4.313,,,,,,,,,,,,
07/27/2023,11:20:00 -0300,0,,,202,382,,,,,,,,23.95,,,,,
07/27/2023,11:22:00 -0300,0,,,195,418,,,,,,,,23.98,,,,,
07/27/2023,11:24:00 -0300,0,,,198,414,4.316,,,,,,,24,,,,,
07/27/2023,11:26:00 -0300,0,,,202,396,,,,,,,,23.88,,,,,
07/27/2023,11:28:00 -0300,0,,,201,469,,,,,,,,24,,,,,
07/27/2023,11:29:00 -0300,,,,,,4.301,,,,,,,,,,,,
07/27/2023,11:30:00 -0300,0,,,198,476,,,,,,,,24.17,,,,,
07/27/2023,11:32:00 -0300,0,,,192,391,,,,,,,,24.15,,,,,
07/27/2023,11:34:00 -0300,0,,,191,391,4.328,,,,,,,24.19,,,,,
07/27/2023,11:36:00 -0300,0,,,199,384,,,,,,,,24.12,,,,,
07/27/2023,11:38:00 -0300,0,,,205,373,,,,,,,,24.15,,,,,
07/27/2023,11:39:00 -0300,,,,,,4.353,,,,,,,,,,,,
07/27/2023,11:40:00 -0300,0,,,198,334,,,,,,,,24.22,,,,,
07/27/2023,11:42:00 -0300,0,,,197,341,,,,,,,,24.15,,,,,
07/27/2023,11:44:00 -0300,0,,,201,401,4.311,,,,,,,24.12,,,,,
07/27/2023,11:46:00 -0300,0,,,195,417,,,,,,,,24.29,,,,,
07/27/2023,11:48:00 -0300,0,,,192,423,,,,,,,,24.39,,,,,
07/27/2023,11:49:00 -0300,,,,,,4.298,,,,,,,,,,,,
07/27/2023,11:50:00 -0300,0,,,192,447,,,,,,,,24.34,,,,,
07/27/2023,11:52:00 -0300,0,,,185,427,,,,,,,,24.36,,,,,
07/27/2023,11:54:00 -0300,0,,,190,452,4.316,,,,,,,24.36,,,,,
07/27/2023,11:56:00 -0300,0,,,191,418,,,,,,,,24.32,,,,,
07/27/2023,11:58:00 -0300,0,,,194,413,,,,,,,,24.07,,,,,
07/27/2023,11:59:00 -0300,,,,,,4.304,,,,,,,,,,,,
07/27/2023,12:00:00 -0300,0,,,205,438,,,,,,,,24.03,,,,,
07/27/2023,12:02:00 -0300,0,,,209,463,,,,,,,,24.07,,,,,
07/27/2023,12:04:00 -0300,0,,,202,438,4.31,,,,,,,24.22,,,,,
07/27/2023,12:06:00 -0300,0,,,198,394,,,,,,,,24.29,,,,,
07/27/2023,12:08:00 -0300,0,,,201,399,,,,,,,,24.24,,,,,
07/27/2023,12:09:00 -0300,,,,,,4.313,,,,,,,,,,,,
07/27/2023,12:10:00 -0300,0,,,195,376,,,,,,,,24.32,,,,,
07/27/2023,12:12:00 -0300,0,,,204,443,,,,,,,,24.32,,,,,
07/27/2023,12:14:00 -0300,0,,,211,408,4.302,,,,,,,24.29,,,,,
07/27/2023,12:16:00 -0300,0,,,204,348,,,,,,,,24.29,,,,,
07/27/2023,12:18:00 -0300,0,,,202,452,,,,,,,,24.44,,,,,
07/27/2023,12:19:00 -0300,,,,,,4.319,,,,,,,,,,,,
07/27/2023,12:20:00 -0300,0,,,198,466,,,,,,,,24.63,,,,,
07/27/2023,12:22:00 -0300,0,,,206,668,,,,,,,,24.77,,,,,
07/27/2023,12:24:00 -0300,0,,,197,781,4.299,,,,,,,25.02,,,,,
07/27/2023,12:26:00 -0300,0,,,195,768,,,,,,,,25.19,,,,,
07/27/2023,12:28:00 -0300,0,,,187,788,,,,,,,,25.33,,,,,
07/27/2023,12:29:00 -0300,,,,,,4.323,,,,,,,,,,,,
07/27/2023,12:30:00 -0300,0,,,187,696,,,,,,,,25.38,,,,,
07/27/2023,12:32:00 -0300,0,,,191,451,,,,,,,,25.28,,,,,
07/27/2023,12:34:00 -0300,0,,,191,404,4.298,,,,,,,25.19,,,,,
07/27/2023,12:36:00 -0300,0,,,190,396,,,,,,,,25.04,,,,,
07/27/2023,12:38:00 -0300,0,,,194,386,,,,,,,,24.94,,,,,
07/27/2023,12:39:00 -0300,,,,,,4.322,,,,,,,,,,,,
07/27/2023,12:40:00 -0300,0,,,204,401,,,,,,,,24.92,,,,,
07/27/2023,12:42:00 -0300,0,,,202,421,,,,,,,,24.77,,,,,
07/27/2023,12:44:00 -0300,0,,,195,442,4.304,,,,,,,24.85,,,,,
07/27/2023,12:46:00 -0300,0,,,194,406,,,,,,,,24.9,,,,,
07/27/2023,12:48:00 -0300,0,,,201,399,,,,,,,,24.85,,,,,
07/27/2023,12:49:00 -0300,,,,,,4.313,,,,,,,,,,,,
07/27/2023,12:50:00 -0300,0,,,195,393,,,,,,,,24.92,,,,,
07/27/2023,12:52:00 -0300,0,,,190,402,,,,,,,,24.9,,,,,
07/27/2023,12:54:00 -0300,0,,,187,429,4.314,,,,,,,24.94,,,,,
07/27/2023,12:56:00 -0300,0,,,205,487,,,,,,,,24.85,,,,,
07/27/2023,12:58:00 -0300,0,,,199,487,,,,,,,,24.87,,,,,
07/27/2023,12:59:00 -0300,,,,,,4.302,,,,,,,,,,,,
07/27/2023,13:00:00 -0300,0,,,192,456,,,,,,,,24.94,,,,,
07/27/2023,13:02:00 -0300,0,,,195,444,,,,,,,,24.92,,,,,
07/27/2023,13:04:00 -0300,0,,,191,468,4.316,,,,,,,24.8,,,,,
07/27/2023,13:06:00 -0300,0,,,190,438,,,,,,,,24.65,,,,,
07/27/2023,13:08:00 -0300,0,,,190,418,,,,,,,,24.58,,,,,
07/27/2023,13:09:00 -0300,,,,,,4.316,,,,,,,,,,,,
07/27/2023,13:10:00 -0300,0,,,188,396,,,,,,,,24.56,,,,,
07/27/2023,13:12:00 -0300,0,,,191,372,,,,,,,,24.58,,,,,
07/27/2023,13:14:00 -0300,0,,,201,362,4.304,,,,,,,24.48,,,,,
07/27/2023,13:16:00 -0300,0,,,195,371,,,,,,,,24.44,,,,,
07/27/2023,13:18:00 -0300,0,,,187,374,,,,,,,,24.63,,,,,
07/27/2023,13:19:00 -0300,,,,,,4.295,,,,,,,,,,,,
07/27/2023,13:20:00 -0300,0,,,202,374,,,,,,,,24.51,,,,,
07/27/2023,13:22:00 -0300,0,,,194,378,,,,,,,,24.53,,,,,
07/27/2023,13:24:00 -0300,0,,,204,378,4.314,,,,,,,24.44,,,,,
07/27/2023,13:26:00 -0300,0,,,195,369,,,,,,,,24.39,,,,,
07/27/2023,13:28:00 -0300,0,,,201,354,,,,,,,,24.39,,,,,
07/27/2023,13:29:00 -0300,,,,,,4.302,,,,,,,,,,,,
07/27/2023,13:30:00 -0300,0,,,198,344,,,,,,,,24.44,,,,,
07/27/2023,13:32:00 -0300,0,,,192,337,,,,,,,,24.48,,,,,
07/27/2023,13:34:00 -0300,0,,,204,332,4.32,,,,,,,24.48,,,,,
07/27/2023,13:36:00 -0300,0,,,201,333,,,,,,,,24.44,,,,,
07/27/2023,13:38:00 -0300,0,,,198,347,,,,,,,,24.48,,,,,
07/27/2023,13:39:00 -0300,,,,,,4.32,,,,,,,,,,,,
07/27/2023,13:40:00 -0300,0,,,202,359,,,,,,,,24.53,,,,,
07/27/2023,13:42:00 -0300,0,,,201,359,,,,,,,,24.56,,,,,
07/27/2023,13:44:00 -0300,0,,,204,387,4.307,,,,,,,24.6,,,,,
07/27/2023,13:46:00 -0300,0,,,205,409,,,,,,,,24.73,,,,,
07/27/2023,13:48:00 -0300,0,,,201,427,,,,,,,,24.9,,,,,
07/27/2023,13:49:00 -0300,,,,,,4.313,,,,,,,,,,,,
07/27/2023,13:50:00 -0300,0,,,197,428,,,,,,,,24.94,,,,,
07/27/2023,13:52:00 -0300,0,,,205,411,,,,,,,,25.02,,,,,
07/27/2023,13:54:00 -0300,0,,,209,412,4.316,,,,,,,24.9,,,,,
07/27/2023,13:56:00 -0300,0,,,197,419,,,,,,,,24.97,,,,,
07/27/2023,13:58:00 -0300,0,,,199,393,,,,,,,,25.09,,,,,
07/27/2023,13:59:00 -0300,,,,,,4.304,,,,,,,,,,,,
07/27/2023,14:00:00 -0300,0,,,198,377,,,,,,,,25.21,,,,,
07/27/2023,14:02:00 -0300,0,,,201,352,,,,,,,,25.23,,,,,
07/27/2023,14:04:00 -0300,0,,,194,348,4.313,,,,,,,25.33,,,,,
07/27/2023,14:06:00 -0300,0,,,188,374,,,,,,,,25.33,,,,,
07/27/2023,14:08:00 -0300,0,,,194,396,,,,,,,,25.28,,,,,
07/27/2023,14:09:00 -0300,,,,,,4.316,,,,,,,,,,,,
07/27/2023,14:10:00 -0300,0,,,187,402,,,,,,,,25.28,,,,,
07/27/2023,14:12:00 -0300,0,,,199,404,,,,,,,,25.21,,,,,
07/27/2023,14:14:00 -0300,0,,,184,403,4.302,,,,,,,25.43,,,,,
07/27/2023,14:16:00 -0300,0,,,185,399,,,,,,,,25.45,,,,,
07/27/2023,14:18:00 -0300,0,,,187,389,,,,,,,,25.43,,,,,
07/27/2023,14:19:00 -0300,,,,,,4.314,,,,,,,,,,,,
07/27/2023,14:20:00 -0300,0,,,187,383,,,,,,,,25.45,,,,,
07/27/2023,14:22:00 -0300,0,,,188,384,,,,,,,,25.4,,,,,
07/27/2023,14:24:00 -0300,0,,,188,373,4.314,,,,,,,25.43,,,,,
07/27/2023,14:26:00 -0300,0,,,187,379,,,,,,,,25.48,,,,,
07/27/2023,14:28:00 -0300,0,,,192,386,,,,,,,,25.43,,,,,
07/27/2023,14:29:00 -0300,,,,,,4.302,,,,,,,,,,,,
07/27/2023,14:30:00 -0300,0,,,192,399,,,,,,,,25.38,,,,,
07/27/2023,14:32:00 -0300,0,,,188,418,,,,,,,,25.4,,,,,
